Epoch 18 [17.2s + 4.1s]: train==[2.14141=2.06541 + 0.07600 + 0.00000], recall=[0.55758, 0.69614], precision=[0.55052, 0.34405], hit=[0.97053, 0.98975], ndcg=[0.77474, 0.87006], map=[0.83899, 0.77828], mrr=[0.88791, 0.89059], f1=[0.55366, 0.46026]
Epoch 19 [17.3s + 4.0s]: train==[2.05516=1.97670 + 0.07846 + 0.00000], recall=[0.56203, 0.70076], precision=[0.55499, 0.34634], hit=[0.97145, 0.99036], ndcg=[0.77635, 0.87155], map=[0.84092, 0.78024], mrr=[0.88945, 0.89206], f1=[0.55812, 0.46333]
Epoch 20 [17.3s + 4.1s]: train==[1.93917=1.85827 + 0.08090 + 0.00000], recall=[0.56703, 0.70497], precision=[0.55994, 0.34844], hit=[0.97174, 0.99001], ndcg=[0.77863, 0.87309], map=[0.84294, 0.78268], mrr=[0.89129, 0.89384], f1=[0.56309, 0.46612]
Epoch 21 [17.3s + 4.1s]: train==[1.85356=1.77028 + 0.08328 + 0.00000], recall=[0.57013, 0.70930], precision=[0.56303, 0.35059], hit=[0.97238, 0.99042], ndcg=[0.77962, 0.87452], map=[0.84473, 0.78444], mrr=[0.89290, 0.89541], f1=[0.56619, 0.46900]
Epoch 22 [17.3s + 4.1s]: train==[1.78720=1.70156 + 0.08564 + 0.00000], recall=[0.57321, 0.71177], precision=[0.56610, 0.35181], hit=[0.97282, 0.99029], ndcg=[0.78022, 0.87458], map=[0.84443, 0.78486], mrr=[0.89207, 0.89449], f1=[0.56926, 0.47063]
Epoch 23 [17.3s + 4.1s]: train==[1.73455=1.64671 + 0.08784 + 0.00000], recall=[0.57605, 0.71532], precision=[0.56889, 0.35357], hit=[0.97333, 0.99055], ndcg=[0.78189, 0.87647], map=[0.84694, 0.78719], mrr=[0.89493, 0.89733], f1=[0.57208, 0.47298]
Epoch 24 [17.2s + 4.1s]: train==[1.65989=1.56980 + 0.09009 + 0.00000], recall=[0.57958, 0.71928], precision=[0.57239, 0.35554], hit=[0.97374, 0.99087], ndcg=[0.78363, 0.87827], map=[0.84947, 0.78957], mrr=[0.89728, 0.89967], f1=[0.57559, 0.47561]
Epoch 25 [17.3s + 4.2s]: train==[1.58436=1.49203 + 0.09233 + 0.00000], recall=[0.58348, 0.72144], precision=[0.57625, 0.35661], hit=[0.97413, 0.99099], ndcg=[0.78615, 0.87965], map=[0.85124, 0.79162], mrr=[0.89890, 0.90123], f1=[0.57946, 0.47705]
Epoch 26 [17.1s + 3.9s]: train==[1.52996=1.43552 + 0.09444 + 0.00000], recall=[0.58744, 0.72504], precision=[0.58017, 0.35838], hit=[0.97537, 0.99128], ndcg=[0.78853, 0.88153], map=[0.85358, 0.79438], mrr=[0.90094, 0.90314], f1=[0.58340, 0.47942]
Epoch 27 [17.2s + 4.1s]: train==[1.48599=1.38941 + 0.09658 + 0.00000], recall=[0.58923, 0.72715], precision=[0.58194, 0.35943], hit=[0.97530, 0.99144], ndcg=[0.78751, 0.88064], map=[0.85176, 0.79326], mrr=[0.89886, 0.90110], f1=[0.58518, 0.48082]
Epoch 28 [17.1s + 3.9s]: train==[1.46523=1.36661 + 0.09862 + 0.00000], recall=[0.59270, 0.73076], precision=[0.58538, 0.36123], hit=[0.97527, 0.99160], ndcg=[0.78889, 0.88189], map=[0.85324, 0.79506], mrr=[0.90006, 0.90234], f1=[0.58863, 0.48322]
Epoch 29 [17.2s + 4.0s]: train==[1.40063=1.30000 + 0.10063 + 0.00000], recall=[0.59376, 0.73331], precision=[0.58643, 0.36250], hit=[0.97565, 0.99153], ndcg=[0.78866, 0.88229], map=[0.85379, 0.79540], mrr=[0.90074, 0.90296], f1=[0.58969, 0.48492]
Epoch 30 [17.1s + 3.9s]: train==[1.33920=1.23666 + 0.10254 + 0.00000], recall=[0.59708, 0.73443], precision=[0.58971, 0.36307], hit=[0.97581, 0.99173], ndcg=[0.79120, 0.88370], map=[0.85583, 0.79784], mrr=[0.90179, 0.90401], f1=[0.59298, 0.48567]
Epoch 31 [17.2s + 4.1s]: train==[1.32089=1.21648 + 0.10442 + 0.00000], recall=[0.59948, 0.73648], precision=[0.59210, 0.36408], hit=[0.97616, 0.99179], ndcg=[0.79255, 0.88466], map=[0.85698, 0.79951], mrr=[0.90242, 0.90459], f1=[0.59538, 0.48703]
Epoch 32 [17.3s + 4.2s]: train==[1.26729=1.16102 + 0.10627 + 0.00000], recall=[0.60217, 0.73840], precision=[0.59477, 0.36504], hit=[0.97648, 0.99163], ndcg=[0.79418, 0.88553], map=[0.85749, 0.80083], mrr=[0.90368, 0.90580], f1=[0.59806, 0.48830]
Epoch 33 [17.2s + 4.1s]: train==[1.22564=1.11741 + 0.10824 + 0.00000], recall=[0.60476, 0.74087], precision=[0.59734, 0.36627], hit=[0.97683, 0.99201], ndcg=[0.79532, 0.88648], map=[0.85875, 0.80224], mrr=[0.90431, 0.90641], f1=[0.60064, 0.48995]
Epoch 34 [17.3s + 4.0s]: train==[1.19385=1.08373 + 0.11012 + 0.00000], recall=[0.60633, 0.74180], precision=[0.59890, 0.36673], hit=[0.97709, 0.99160], ndcg=[0.79592, 0.88658], map=[0.85875, 0.80272], mrr=[0.90426, 0.90627], f1=[0.60220, 0.49056]
Epoch 35 [17.1s + 4.0s]: train==[1.16899=1.05711 + 0.11188 + 0.00000], recall=[0.60857, 0.74473], precision=[0.60113, 0.36819], hit=[0.97728, 0.99185], ndcg=[0.79565, 0.88652], map=[0.85848, 0.80268], mrr=[0.90347, 0.90550], f1=[0.60444, 0.49251]
Epoch 36 [17.5s + 4.2s]: train==[1.13807=1.02448 + 0.11359 + 0.00000], recall=[0.60878, 0.74571], precision=[0.60131, 0.36867], hit=[0.97747, 0.99198], ndcg=[0.79446, 0.88591], map=[0.85745, 0.80177], mrr=[0.90273, 0.90477], f1=[0.60463, 0.49315]
Epoch 37 [17.1s + 4.0s]: train==[1.11007=0.99475 + 0.11532 + 0.00000], recall=[0.61165, 0.74788], precision=[0.60415, 0.36975], hit=[0.97791, 0.99214], ndcg=[0.79665, 0.88749], map=[0.85941, 0.80373], mrr=[0.90506, 0.90704], f1=[0.60749, 0.49460]
Epoch 38 [17.3s + 4.0s]: train==[1.08050=0.96366 + 0.11684 + 0.00000], recall=[0.61295, 0.74924], precision=[0.60546, 0.37042], hit=[0.97740, 0.99252], ndcg=[0.79725, 0.88817], map=[0.85989, 0.80486], mrr=[0.90510, 0.90722], f1=[0.60879, 0.49549]
Epoch 39 [17.2s + 4.3s]: train==[1.06300=0.94442 + 0.11857 + 0.00000], recall=[0.61394, 0.75102], precision=[0.60642, 0.37129], hit=[0.97814, 0.99236], ndcg=[0.79783, 0.88903], map=[0.86193, 0.80598], mrr=[0.90667, 0.90866], f1=[0.60976, 0.49666]
Epoch 40 [17.3s + 4.2s]: train==[1.02491=0.90475 + 0.12016 + 0.00000], recall=[0.61671, 0.75258], precision=[0.60917, 0.37206], hit=[0.97874, 0.99262], ndcg=[0.79872, 0.88914], map=[0.86170, 0.80642], mrr=[0.90595, 0.90788], f1=[0.61252, 0.49769]
Epoch 41 [17.6s + 4.2s]: train==[1.01093=0.88910 + 0.12183 + 0.00000], recall=[0.61729, 0.75423], precision=[0.60973, 0.37290], hit=[0.97849, 0.99236], ndcg=[0.79817, 0.88906], map=[0.86129, 0.80639], mrr=[0.90545, 0.90741], f1=[0.61309, 0.49881]
Epoch 42 [17.4s + 4.2s]: train==[0.98690=0.86369 + 0.12321 + 0.00000], recall=[0.62007, 0.75529], precision=[0.61250, 0.37343], hit=[0.97849, 0.99239], ndcg=[0.80036, 0.89013], map=[0.86255, 0.80815], mrr=[0.90683, 0.90877], f1=[0.61586, 0.49951]
Epoch 43 [17.2s + 3.9s]: train==[0.94923=0.82446 + 0.12477 + 0.00000], recall=[0.62203, 0.75633], precision=[0.61447, 0.37395], hit=[0.97893, 0.99262], ndcg=[0.80275, 0.89195], map=[0.86512, 0.81092], mrr=[0.90904, 0.91095], f1=[0.61783, 0.50020]
Epoch 44 [17.2s + 4.0s]: train==[0.94282=0.81647 + 0.12634 + 0.00000], recall=[0.62284, 0.75850], precision=[0.61526, 0.37502], hit=[0.97912, 0.99278], ndcg=[0.80231, 0.89224], map=[0.86591, 0.81111], mrr=[0.90936, 0.91127], f1=[0.61863, 0.50164]
